,ENSG00000103740~chr15:78247660-78248550,ENSG00000039068~chr16:68731739-68732631,ENSG00000103740~chr15:78262973-78263663,ENSG00000226281~chr6:6704161-6705011,ENSG00000264066~chr17:28906669-28907506,ENSG00000264066~chr17:28865144-28865894,ENSG00000103740~chr15:78276232-78277115,ENSG00000173262~chr12:7872610-7873485,ENSG00000120278~chr6:150640924-150641691,ENSG00000158578~chrX:55014715-55015629,ENSG00000039068~chr16:68792672-68793582,ENSG00000029534~chr8:41797283-41798132,ENSG00000166947~chr15:43220719-43221615,ENSG00000152078~chr1:95179309-95180186,ENSG00000004939~chr17:44266291-44267197,ENSG00000004939~chr17:44288162-44289044,ENSG00000128268~chr22:39472801-39473627,ENSG00000029534~chr8:41767510-41768299,ENSG00000169398~chr8:140693258-140694176,ENSG00000088387~chr13:99053402-99054266,ENSG00000144407~chr2:208571410-208572298,ENSG00000072134~chr17:19270708-19271611,ENSG00000288046~chr6:6684138-6684956,ENSG00000070182~chr14:64879986-64880650,ENSG00000253819~chr8:122693857-122694773,ENSG00000100012~chr22:30451182-30452012,ENSG00000264066~chr17:28861579-28862373,ENSG00000070182~chr14:64844781-64845617,ENSG00000214049~chr19:15828283-15829192,ENSG00000170873~chr8:124610026-124610875,ENSG00000206177~chr16:113162-114072,ENSG00000168754~chr2:96907191-96908055,ENSG00000168477~chr6:32131545-32132216,ENSG00000228793~chr6:3650686-3651540,ENSG00000227070~chr1:51520362-51521095,ENSG00000168754~chr2:96924285-96924998,ENSG00000128268~chr22:39452347-39453203,ENSG00000039068~chr16:68736909-68737793,ENSG00000287860~chr7:7100368-7101064,ENSG00000198838~chr15:33678116-33679062,ENSG00000226281~chr6:6694569-6695239,ENSG00000164574~chr5:154393949-154394865,ENSG00000147454~chr8:23493866-23494729,ENSG00000154639~chr21:17512361-17513225,ENSG00000152078~chr1:95117064-95117857,ENSG00000288046~chr6:6686689-6687601,ENSG00000101935~chrX:110363029-110363927,ENSG00000137266~chr6:3414512-3415408,ENSG00000267308~chr19:15828283-15829192,ENSG00000131981~chr14:55122435-55123270,ENSG00000130208~chr19:44910860-44911762,ENSG00000112077~chr6:49646002-49646907,ENSG00000206172~chr16:174659-175529,ENSG00000152078~chr1:95084272-95085140,ENSG00000226026~chr1:95249702-95250588,ENSG00000168754~chr2:96950888-96951798,ENSG00000049759~chr18:58041377-58042250,ENSG00000115641~chr2:105385693-105386600,ENSG00000168477~chr6:32153705-32154535,ENSG00000119888~chr2:47336486-47337420,ENSG00000226026~chr1:95179309-95180186,ENSG00000148842~chr10:102988716-102989624,ENSG00000206177~chr16:104601-105451,ENSG00000165702~chr9:132894122-132895014,ENSG00000075340~chr2:70785010-70785892,ENSG00000175048~chr6:157488301-157489034,ENSG00000168477~chr6:32108163-32108847,time
0,0.012236249,0.015699113,-0.012031346,0.017509643,0.0019190807,0.018165084,0.012358942,-0.004750617,-0.0020627773,0.008358051,-0.02514524,0.089610465,0.010390938,0.015026747,-0.013769268,-0.015013236,0.0037231753,-0.0045229197,0.005650015,0.03259889,0.0417589,0.028638309,0.0055717663,-0.0062936572,0.012073428,0.0044598286,0.008772451,0.026468076,0.0147317415,0.012284949,-0.01809144,0.0084599815,0.0123091545,0.009074436,0.018618576,-0.024574526,0.0050187795,-0.006553033,0.00687456,0.029374601,0.011475896,0.04416151,0.07060183,0.02074378,-0.0021300993,0.012530428,0.04035397,-0.0011067569,0.010396891,-0.0086470805,0.005168035,0.004171412,0.036149953,0.009422385,-0.0025132617,-0.011743682,0.017665204,0.04019067,0.0044745076,0.011152569,0.0035385715,0.017191784,0.004282914,0.02245203,-0.0077404412,0.0072136046,-0.00086552184,0.0028837079
1,0.014911733,0.009829386,0.008031711,0.011346998,0.007265662,0.01745327,0.011697247,0.007930805,0.0068890764,0.009653884,0.009100487,0.06555101,0.011165769,0.017620945,0.003965338,0.007668143,0.008931575,0.0004852782,0.00086605374,0.009337025,0.031311262,0.021402508,0.013016468,0.021591133,0.0033017949,0.004632077,0.0081471,0.022585308,0.010895514,0.011814539,0.008803919,0.006279968,0.008814373,0.013722871,0.01832843,-0.0082652895,0.0063219382,-0.010932296,0.0023340783,0.0318839,0.008126029,0.036883745,0.064899236,0.002672566,-0.0069473316,0.009567068,0.020662477,-0.013128698,0.00809147,0.0037283194,0.018425604,0.010907845,0.017787449,0.007886288,-0.00077292364,-0.004255327,0.01285929,0.03729089,-0.0039356295,-0.007718204,0.0029397637,0.011587294,0.0028845975,0.00915763,-0.006683388,-0.0047046538,-0.0052459617,0.0069777253
2,0.01448357,0.008589582,0.0037143086,0.0120159555,0.0072004856,0.01591037,0.013203545,0.012667727,0.0015018096,0.008063938,0.009152458,0.059503265,0.011475433,0.014465337,0.003052521,0.0080364635,0.009828028,0.013399368,-0.00574015,0.0020501858,0.032036312,0.019434307,0.008184154,0.02216618,0.0073548937,0.0051422464,0.007557724,0.024992453,0.010633129,0.012500853,0.010041674,0.007078983,0.006271673,0.011496516,0.011780003,0.0007550073,0.008417348,-0.010933604,0.005503339,0.03136714,0.0018163922,0.027272975,0.04643612,0.0024875398,-0.0057713697,0.003279546,0.016678149,-0.01975853,0.008871048,0.010816189,0.014333686,0.02088485,0.012181701,0.0072006206,-0.0011961269,-0.003083809,0.008683929,0.02731015,-0.0026706944,0.0047003245,0.006705905,0.011556339,0.0036454964,0.010571576,0.0017460263,-0.009821176,0.0006568839,0.011452161
3,0.013838235,0.010988513,0.004030311,0.011612148,0.007825883,0.017911773,0.010946223,0.014967528,0.00045177343,0.0058023925,0.009668221,0.06603843,0.012481076,0.012259821,0.0041295625,0.0076774512,0.011764958,0.025093375,-0.013796401,0.001362349,0.034459323,0.012953259,0.01113729,0.015038331,0.0059853108,0.005777493,0.007833232,0.02464912,0.010857768,0.00576514,0.007559306,0.0042735077,0.005180518,0.010193744,0.02161079,-0.0034815753,0.008636211,0.00095491856,0.0033389337,0.03430666,0.005283939,0.025024576,0.03997638,0.0015148099,-0.004431765,0.0045593567,0.01631703,-0.0080649005,0.009861014,0.012869491,0.016236119,0.017831795,0.0037772548,0.004366224,0.0013774231,0.0015894137,0.0031976716,0.023498237,0.00070750614,0.0054610977,0.007885633,0.0056581832,0.0020298702,0.008755873,0.0024689701,-0.003751027,-0.0014000193,0.016182104
4,0.012685984,0.012105383,0.0036542749,0.011133423,0.007447773,0.017580386,0.012179645,0.010859717,0.0020362032,0.004968565,0.009761896,0.06720214,0.012928321,0.010788172,0.0043612146,0.0077796364,0.0060689743,0.029399415,-0.008546701,9.388325e-05,0.034325108,0.010811809,0.008408024,0.015141681,0.0045936406,0.00541616,0.007962039,0.024055371,0.008221277,0.0083624255,0.006834846,0.0047190697,0.007507034,0.009831403,0.01992252,-0.0021402936,0.0068857362,-0.0040066717,0.004029358,0.033399735,0.0022168243,0.018678403,0.0370232,-0.0045950203,-0.0031631063,0.00786965,0.016210241,-0.0076999683,0.006886083,0.010102381,0.011228884,0.017568955,0.010172874,0.0018905042,0.0025697195,0.003456544,-0.00031860362,0.027648903,0.0038819911,0.0047851717,0.007656266,0.00051803293,0.00029315334,0.00967458,0.0020908625,0.0016759969,0.0025682277,0.020931115
5,0.012731463,0.011569507,0.0063517336,0.011792836,0.007845628,0.01635787,0.009263509,0.016850151,0.0003142693,0.005354991,0.01023787,0.062432166,0.011507485,0.010313685,0.0045744553,0.008258005,0.00093208486,0.03636278,0.0025588241,0.0037113607,0.03354003,0.011681549,0.009334212,0.023957327,0.004468279,0.005643859,0.00814622,0.024310447,0.009526839,0.014106401,0.0074309898,0.005063593,0.0054213367,0.01143423,0.014989115,-0.002526428,0.0058339234,-0.00019708514,0.0010841164,0.027582623,0.004404348,0.01697164,0.032751746,-0.0024112605,0.000995164,0.00568826,0.013977923,-0.008965218,0.007300129,0.010344012,0.010409903,0.023448274,0.001365563,0.0034539974,0.0037029958,-0.0017608616,0.0012129585,0.026722826,0.00094449107,0.006069693,0.007296019,0.0011097859,0.0014785328,0.013946831,0.005993135,0.00046058753,0.0021864513,0.02563949
6,0.011611801,0.012868421,0.0043111704,0.009998649,0.008271671,0.015287554,0.010184992,0.013127724,0.0030632447,0.006853482,0.011139607,0.06974508,0.011774503,0.012459051,0.0042642336,0.008751903,0.005858666,0.03388009,0.0144009525,-8.578897e-05,0.032957215,0.012333238,0.007037272,0.022236848,0.0054394025,0.0056685647,0.007540734,0.023078073,0.006996378,0.015332615,0.010067829,0.0059398813,0.005817803,0.012346344,0.017223192,-0.0004910237,0.006366887,-0.0026578782,0.002256894,0.028299954,0.0035956043,0.020792134,0.03292211,0.0012718008,-0.00019453866,0.006013813,0.011158032,-0.005094728,0.007086773,0.012444736,0.016548948,0.012340727,0.01680665,0.005333001,0.0019457397,-0.0014301897,0.0017118815,0.031290308,0.0020914471,-0.0022838067,0.007911136,0.0052176835,0.002820808,0.014171523,0.0028579186,0.0018928245,0.008634741,0.030633623
7,0.010191826,0.010325534,0.0041490444,0.007795186,0.0082045235,0.016529236,0.0072877877,0.008702071,0.0015963612,0.0058223694,0.008654138,0.06531484,0.012198642,0.013507644,0.004701959,0.010451297,0.004969415,0.036687173,0.012449147,-0.00091165915,0.027643606,0.010413816,0.006816779,0.021445913,0.0035558708,0.00536947,0.007155275,0.019533604,0.0059010335,0.019536188,0.007875317,0.0066881557,0.0034119412,0.0142353065,0.01801038,0.0001674176,0.0051058726,-0.0019845886,0.0034645873,0.026238637,0.002817916,0.017483024,0.03180587,0.0029520504,0.00062564475,0.003496319,0.010018128,-0.004240203,0.005654617,0.011157692,0.015608838,0.011141399,0.017564591,0.005117157,0.0027730116,-0.0039016583,0.0011016736,0.026793415,0.0011454787,-0.00041809748,0.007228608,0.0026932582,0.0037532167,0.014800021,0.0031266029,0.0033362214,0.0055586854,0.035471044
8,0.009794233,0.010997517,0.0032966288,0.0071826796,0.0077503496,0.016194258,0.006977021,0.013189334,0.0007912001,0.0084833475,0.009380651,0.06661041,0.013458193,0.012282306,0.005033964,0.008717928,0.009658996,0.03153174,0.029908642,0.0035894308,0.028908227,0.011732411,0.007274571,0.018233765,0.0024959343,0.006310245,0.006369346,0.021045132,0.005616451,0.019028403,0.006579967,0.0072207553,0.0030154653,0.01351168,0.018163789,-0.004433737,0.0098191025,-0.001745409,0.0029246171,0.029494688,0.0043614777,0.018205391,0.025283506,-0.000866838,-0.0032884278,0.003117938,0.009544652,0.0010308914,0.0040959846,0.010184119,0.008248062,0.0063404026,0.02151333,-0.0010023535,0.0042625484,-0.000338957,0.004141559,0.026082886,-0.0052745175,0.0051007825,0.0036504818,0.0044735526,0.0035401923,0.011439891,0.0027462656,-0.004531479,0.0017511749,0.040457286
9,0.010432527,0.010300603,0.0017258346,0.009164586,0.0092631215,0.015168912,0.010857403,0.014288019,0.007334038,0.00733006,0.0051048216,0.06794494,0.011888086,0.01250127,0.0054445053,0.008411748,0.014479446,0.030432563,0.029893493,-0.0025996787,0.027608084,0.009658145,0.0038928206,0.020652704,0.0036033236,0.006484117,0.005662333,0.019514937,0.0052586757,0.019435152,0.0075062043,0.0058254525,0.0048312163,0.013937762,0.025206368,0.003416509,0.014234806,0.0005858094,0.0033209298,0.025661623,0.002868062,0.018793419,0.019951638,0.005623736,0.0002471885,-0.0004023511,0.006353507,-0.013158943,0.005663793,0.010029721,0.008194313,0.00040383695,0.012178716,0.0018942398,0.0022601318,-0.0037995852,0.005387966,0.028400065,-0.008620788,0.0017175993,0.0053573013,0.008388597,0.0047755158,0.015477985,-0.00061884645,-0.0030721189,0.0042441627,0.045364115
