,ENSG00000039068~chr16:68771887-68772773,ENSG00000105610~chr19:12887130-12887991,ENSG00000136842~chr9:97503334-97504130,ENSG00000197993~chr7:142961922-142962835,ENSG00000168754~chr2:96895170-96895942,ENSG00000055118~chr7:150955439-150956350,ENSG00000137266~chr6:3427463-3428371,ENSG00000075340~chr2:70717313-70718163,ENSG00000198838~chr15:33442225-33443085,ENSG00000137266~chr6:3392733-3393621,ENSG00000110888~chr12:30757088-30757992,ENSG00000224184~chr2:12031957-12032665,ENSG00000106327~chr7:100641098-100641946,ENSG00000137266~chr6:3288095-3288981,ENSG00000123191~chr13:52022107-52023002,ENSG00000229294~chr1:65292747-65293657,ENSG00000168734~chr20:44543967-44544901,ENSG00000120278~chr6:150611571-150612474,ENSG00000164877~chr7:1462392-1463307,ENSG00000147454~chr8:23508653-23509463,ENSG00000135838~chr1:182791416-182792292,ENSG00000061273~chr12:47834264-47835144,ENSG00000144407~chr2:208488921-208489845,ENSG00000224184~chr2:11967753-11968672,ENSG00000163554~chr1:158686264-158687175,ENSG00000229294~chr1:65317611-65318514,ENSG00000198838~chr15:33311485-33311845,ENSG00000187266~chr19:11382831-11383527,ENSG00000163554~chr1:158675519-158676409,time
0,0.01587443,0.058937605,0.019374026,0.028714491,0.0006653836,0.0016295334,-0.0022356443,0.015474864,0.021305446,0.013827526,0.016634403,-0.007712759,0.056652308,0.016316462,0.029436458,0.06675334,0.06383931,0.0128689045,-0.00024268166,0.054805484,0.024870707,-0.010504742,0.036132444,0.017095042,0.04250199,0.0410187,0.018333197,0.02684527,0.03579408,0.0028837079
1,0.01639484,0.035996135,0.018111382,0.022340786,-0.0014373977,0.018683972,-0.0046491665,0.009951376,0.038469672,0.017006112,0.023931267,0.00087669,0.101520315,0.016994128,0.030490737,0.06645303,0.04985139,0.011801979,0.0029063951,0.025074543,0.018473199,0.0040348917,0.03224614,0.016490074,0.043010537,0.04434691,0.015332671,0.05496817,0.028972916,0.0069777253
2,0.019438718,0.037425205,0.011913517,0.02719971,0.008387995,0.01464441,0.0013863905,0.014914185,0.034089897,0.017555332,0.01812128,0.0053936047,0.09690619,0.013318596,0.029486567,0.055217847,0.048751134,0.00915832,0.0011639674,0.024083197,0.017094975,0.00934092,0.024310065,0.011082017,0.03218136,0.036646947,0.010109846,0.05468846,0.025991697,0.011452161
3,0.018240584,0.032832015,0.009345485,0.030532144,0.007319767,0.027455764,0.0062422855,0.014121037,0.034843776,0.013928456,0.014068592,0.0027463224,0.09149727,0.012161441,0.026592782,0.051254928,0.0420294,0.0090611745,0.010108441,0.02303249,0.018602388,0.005813415,0.02532882,0.010977319,0.032534562,0.034821186,0.005991904,0.05330645,0.027582223,0.016182104
4,0.016379373,0.03885743,0.008879816,0.029270226,0.006871754,0.030760443,0.0026400823,0.014435297,0.028916294,0.013398764,0.014297783,0.0026558924,0.08759755,0.014879804,0.025838565,0.052909233,0.035181712,0.011563464,0.004185154,0.015630867,0.017385218,0.0033552204,0.025402153,0.013007704,0.031159846,0.032666564,0.007983472,0.04476801,0.031485226,0.020931115
5,0.017702565,0.033800203,0.010896161,0.02678237,0.0061529637,0.03177997,0.0031636057,0.014603068,0.029960683,0.015200055,0.012502033,0.005390439,0.08752522,0.014458776,0.023725085,0.054518305,0.032787364,0.012075552,0.009080575,0.01576087,0.017167589,0.0052653537,0.02536422,0.013669291,0.0286436,0.034580823,0.0076027936,0.044884477,0.03229432,0.02563949
6,0.018780332,0.035147026,0.014782221,0.028608672,0.0071397205,0.040794548,0.0083698,0.014456091,0.029767537,0.015649995,0.00936473,0.0029106096,0.083675526,0.015312109,0.025294151,0.055626735,0.037904985,0.010762482,0.002432222,-0.0019397076,0.020695826,0.0028163989,0.021101583,0.014129371,0.022877127,0.03155777,0.015357219,0.042866733,0.03398433,0.030633623
7,0.018266702,0.03754728,0.015845163,0.028655853,0.008373236,0.04720022,0.010486064,0.013874171,0.026916215,0.017189214,0.010247744,0.004418193,0.08419101,0.015418416,0.030469181,0.050815616,0.035412088,0.009828375,-0.0015457707,0.0006845516,0.020877477,0.00042794322,0.02140517,0.013591606,0.009432506,0.028250633,0.019534692,0.04337681,0.034913365,0.035471044
8,0.01847261,0.034900706,0.014405406,0.029274145,0.0075810337,0.03812971,0.011946875,0.013737717,0.028456608,0.014001611,0.009007064,0.007190162,0.0797118,0.014565213,0.02874468,0.049555864,0.029250335,0.0075294906,0.0039833635,0.010170489,0.019104019,-0.0060408553,0.025251003,0.012907048,0.024305955,0.029913291,0.01280304,0.038326476,0.03632962,0.040457286
9,0.01902394,0.039729908,0.018171746,0.029218057,0.006473235,0.03799348,0.014508705,0.014141872,0.013997377,0.01752537,0.010605951,0.0042472235,0.071696244,0.015150907,0.029473556,0.048714653,0.028340818,0.011671327,0.0064048795,0.011820897,0.02443095,0.0013725344,0.022969477,0.0161166,0.008331891,0.026369557,0.0076147486,0.039752964,0.031412773,0.045364115
10,0.017215747,0.03678767,0.015083904,0.032386303,0.007760869,0.035986762,0.009123852,0.014755029,0.013632024,0.017405966,0.014068358,0.0066074254,0.06516353,0.016099999,0.029900614,0.043769974,0.025626365,0.005745567,0.0031309414,0.017890135,0.024658766,0.003040992,0.02224844,0.014236482,0.014869405,0.02553688,-0.001989332,0.035985943,0.018968761,0.05022196
11,0.015463256,0.036865063,0.018159939,0.031094447,0.0057898895,0.03959316,0.008766799,0.010424358,-0.005045888,0.0124066705,0.0118161235,0.008097931,0.053694405,0.018060816,0.027942916,0.033821642,0.027059203,0.0053227725,0.0010023022,0.02111307,0.020665176,0.0040296847,0.01622777,0.009338653,0.02210536,0.023321392,-0.0010106361,0.02658102,0.01892345,0.054982793
12,0.01794588,0.03373849,0.016175553,0.029385453,0.0069777067,0.046064723,0.008189451,0.01106711,-0.0052405144,0.013635097,0.00948859,0.0076391045,0.03669249,0.012466807,0.02807036,0.031338256,0.030860461,0.008065549,0.0054928022,0.014244815,0.025896428,-0.003638394,0.010394482,0.016916191,0.015727146,0.023059174,-0.0027958818,0.024376338,0.021017557,0.05979772
13,0.017390395,0.03598402,0.013330217,0.031883903,0.0023369757,0.049234603,0.011170402,0.013568763,0.012172652,0.017187381,0.009667974,0.008290971,0.048462875,0.01682009,0.027153693,0.030276816,0.023857238,0.0064157983,0.010993636,0.016972668,0.01944467,0.0041236454,0.011863818,0.009835986,0.012887267,0.022507913,0.00074459147,0.029132063,0.020465273,0.0648138
14,0.016338067,0.024894008,0.015996506,0.03220013,0.004199493,0.040536113,0.011323665,0.014049083,-0.00881017,0.014102511,0.005022159,0.012160985,0.031361222,0.015426584,0.030866466,0.015780276,0.030292617,0.0012336096,-0.0037133254,0.024864268,0.027909257,0.009165969,0.0024045873,0.010927434,0.023719478,0.0015193636,0.007730262,0.022922395,0.009231916,0.06985915
15,0.019114282,0.019008048,0.013943333,0.02994209,-0.0003156653,0.0514714,0.009595974,0.013962579,-0.011755544,0.023225905,0.0073921187,0.0060226293,0.041912425,0.017951401,0.03163353,0.027406491,0.041540913,-0.000610494,0.00087017514,0.032300662,0.026002835,0.009485428,0.023415638,0.0030116625,0.01841832,0.012283309,-0.0029520087,0.029738277,0.018940734,0.0744798
16,0.01941111,0.012618936,0.014994398,0.027393607,0.0061313086,0.044563092,0.01218879,0.0153778745,0.008480078,0.01878855,0.012721639,0.012694675,0.030593287,0.018641347,0.02510107,0.004359427,0.04051246,0.0172606,0.005545452,0.021975296,0.027893743,0.007387177,0.0007513128,0.0057047377,0.005684827,0.0007059677,0.008539018,0.0067835026,8.682689e-05,0.07956456
