0	chr10	103696215	103697122	.
1	chr10	103757486	103758357	.
2	chr10	103800545	103801445	.
3	chr10	110081616	110082507	.
4	chr10	17425631	17426549	.
5	chr10	17428416	17429300	.
6	chr10	17430490	17431367	.
7	chr10	28302616	28303476	.
8	chr10	28363117	28364028	.
9	chr10	28366719	28367491	.
10	chr10	28381566	28382471	.
11	chr10	29478802	29479690	.
12	chr10	50325153	50326054	.
13	chr10	50326653	50327505	.
14	chr10	50417842	50418725	.
15	chr10	50550071	50550967	.
16	chr10	50577421	50578326	.
17	chr10	50621773	50622633	.
18	chr10	50624382	50625178	.
19	chr10	51073984	51074826	.
20	chr10	69451050	69451905	.
21	chr10	69479132	69479964	.
22	chr10	73956318	73957187	.
23	chr10	73997524	73998443	.
24	chr10	74021048	74021916	.
25	chr10	84187142	84187859	.
26	chr10	84194222	84195083	.
27	chr10	89327624	89328530	.
28	chr10	95294886	95295786	.
29	chr10	95297159	95298075	.
30	chr10	95308438	95309352	.
31	chr11	101516273	101517186	.
32	chr11	101582090	101582890	.
33	chr11	101583170	101584074	.
34	chr11	101914632	101915531	.
35	chr11	10659441	10660269	.
36	chr11	10663757	10664658	.
37	chr11	10722113	10723005	.
38	chr11	10725124	10726024	.
39	chr11	10735452	10736365	.
40	chr11	10750738	10751643	.
41	chr11	10786180	10786997	.
42	chr11	110069088	110069958	.
43	chr11	110076085	110076983	.
44	chr11	110112207	110113021	.
45	chr11	119172185	119173077	.
46	chr11	120324941	120325839	.
47	chr11	120335966	120336830	.
48	chr11	120339264	120340158	.
49	chr11	120511023	120511879	.
50	chr11	120545533	120546419	.
51	chr11	120552144	120553033	.
52	chr11	120564613	120565449	.
53	chr11	120598317	120599223	.
54	chr11	120622119	120623042	.
55	chr11	120952439	120953291	.
56	chr11	122694980	122695798	.
57	chr11	122697461	122698325	.
58	chr11	122717124	122718043	.
59	chr11	122755225	122755840	.
60	chr11	124716256	124717134	.
61	chr11	124725245	124726024	.
62	chr11	124739548	124740339	.
63	chr11	124758094	124758979	.
64	chr11	124759534	124760237	.
65	chr11	124761886	124762740	.
66	chr11	124762881	124763743	.
67	chr11	124800003	124800826	.
68	chr11	27698670	27699579	.
69	chr11	48006356	48007168	.
70	chr11	5275483	5276369	.
71	chr11	5280288	5281189	.
72	chr11	5287811	5288708	.
73	chr11	70398097	70398949	.
74	chr11	70423834	70424720	.
75	chr11	76664468	76665343	.
76	chr11	76666142	76667055	.
77	chr11	76670505	76671379	.
78	chr11	76678138	76679009	.
79	chr11	76680511	76681383	.
80	chr11	76700159	76701066	.
81	chr11	86793059	86793970	.
82	chr11	87954237	87955146	.
83	chr11	95066882	95067763	.
84	chr11	95068316	95069193	.
85	chr11	95089325	95090236	.
86	chr11	95108849	95109745	.
87	chr12	20367914	20368787	.
88	chr12	20410479	20411348	.
89	chr12	20414781	20415649	.
90	chr12	3041273	3042102	.
91	chr12	3073162	3074040	.
92	chr12	3076818	3077728	.
93	chr12	3116854	3117684	.
94	chr12	3129939	3130711	.
95	chr12	42468178	42469026	.
96	chr12	42482623	42483448	.
97	chr12	48779620	48780505	.
98	chr12	48788593	48789437	.
99	chr12	48795509	48796350	.
100	chr12	48814432	48815231	.
101	chr12	48815366	48815955	.
102	chr12	51326527	51327425	.
103	chr12	5882552	5883465	.
104	chr12	6039695	6040610	.
105	chr12	6103843	6104746	.
106	chr12	6124190	6125074	.
107	chr12	6138574	6139483	.
108	chr12	6167531	6168388	.
109	chr12	6182046	6182919	.
110	chr12	6199883	6200745	.
111	chr12	6639132	6639718	.
112	chr12	6689030	6689834	.
113	chr12	68364892	68365794	.
114	chr12	68393131	68394056	.
115	chr12	68497460	68498372	.
116	chr12	72272886	72273573	.
