,group,name,Mean.1,Mean.2,Std.1,Std.2,obsn.1,obsn.2,score,p.value,p.adj,Frac.gene.1,Frac.peak.1,score.abs
16640,NeuP,ENSG00000134627~chr11:94574263-94575170,0.7027917,0.043339964,0.7979910398101958,0.14823957447222338,1434.0,13493.0,83.4196814032201,0.0,0.0,0.45397489539748953,0.17712691771269176,83.4196814032201
16692,NeuP,ENSG00000255929~chr11:94574263-94575170,0.635598,0.03524229,0.7704860369828204,0.11331575521813445,1434.0,13493.0,82.52218230685762,0.0,0.0,0.32705718270571826,0.17712691771269176,82.52218230685762
13663,NeuP,ENSG00000155966~chrX:148494918-148495844,0.61533034,0.036169782,0.7050471439800831,0.14395117623615528,1434.0,13493.0,80.88389232574202,0.0,0.0,0.7384937238493724,0.10460251046025104,80.88389232574202
5959,NeuP,ENSG00000173890~chr3:170024878-170025760,0.35427043,0.012858523,0.47535383829813715,0.06859860522844977,1434.0,13493.0,76.30600968886777,0.0,0.0,0.23709902370990238,0.12412831241283125,76.30600968886777
29046,NeuP,ENSG00000183570~chr21:45818278-45818965,0.5312458,0.032601688,0.680480050179821,0.14341043870216247,1434.0,13493.0,71.49680624039574,0.0,0.0,0.600418410041841,0.09623430962343096,71.49680624039574
27730,NeuP,ENSG00000129951~chr19:848391-849171,0.5358298,0.018543607,0.7837124982467432,0.09945520106655814,1434.0,13493.0,71.46528908915695,0.0,0.0,0.36610878661087864,0.08437935843793584,71.46528908915695
18341,NeuP,ENSG00000183621~chr10:30857488-30858392,0.40127125,0.03286879,0.5039372308730989,0.10650866694888317,1434.0,13493.0,71.26726285385602,0.0,0.0,0.797768479776848,0.08158995815899582,71.26726285385602
27724,NeuP,ENSG00000129951~chr19:827388-828263,0.52718997,0.028500153,0.6880845010168469,0.14353831986261648,1434.0,13493.0,70.9250507927603,0.0,0.0,0.36610878661087864,0.11366806136680614,70.9250507927603
6189,NeuP,ENSG00000058866~chr3:186364879-186365795,0.37933993,0.031626042,0.45848845967425506,0.11440204992672832,1434.0,13493.0,69.96683043992594,0.0,0.0,0.5516039051603905,0.13668061366806136,69.96683043992594
18349,NeuP,ENSG00000183621~chr10:30999055-30999867,0.3512104,0.021479737,0.4717959995623372,0.10528971906300957,1434.0,13493.0,67.00133833852648,0.0,0.0,0.797768479776848,0.08089260808926081,67.00133833852648
3919,NeuP,ENSG00000085449~chr2:223870794-223871727,0.2385421,0.017122388,0.30150740465547987,0.07924081121511499,1434.0,13493.0,66.42168489279592,0.0,0.0,0.4735006973500697,0.13389121338912133,66.42168489279592
22792,NeuP,ENSG00000214013~chr15:42284798-42285674,0.30971777,0.013261408,0.4733082962408785,0.07052196050748044,1434.0,13493.0,66.18755262239647,0.0,0.0,0.5306834030683403,0.08716875871687588,66.18755262239647
15427,NeuP,ENSG00000180071~chr9:38620303-38621110,0.3943235,0.011806917,0.6284447849342031,0.07879204095604259,1434.0,13493.0,66.00683738510209,0.0,0.0,0.2914923291492329,0.14156206415620642,66.00683738510209
19246,NeuP,ENSG00000065809~chr10:14659512-14660407,0.43642893,0.07157584,0.47061599157461903,0.1427342189271036,1434.0,13493.0,65.94228952335497,0.0,0.0,0.7573221757322176,0.14365411436541142,65.94228952335497
27073,NeuP,ENSG00000197766~chr19:848391-849171,0.42122132,0.016451163,0.6726079257759023,0.08997417053045838,1434.0,13493.0,64.6864001354577,0.0,0.0,0.45327754532775455,0.08437935843793584,64.6864001354577
2597,NeuP,ENSG00000119535~chr1:36486419-36487333,0.41805902,0.038523152,0.4870571586678414,0.15795835853865375,1434.0,13493.0,64.17901621418308,0.0,0.0,0.9016736401673641,0.15481171548117154,64.17901621418308
11535,NeuP,ENSG00000283573~chr6:43789740-43790657,0.35252175,0.019596351,0.5649633247178026,0.0742109989385753,1434.0,13493.0,63.506143038066945,0.0,0.0,0.30962343096234307,0.1087866108786611,63.506143038066945
5963,NeuP,ENSG00000173890~chr3:170044519-170045431,0.23027457,0.008831518,0.36995373223405675,0.06118469813584971,1434.0,13493.0,62.020151886592295,0.0,0.0,0.23709902370990238,0.1206415620641562,62.020151886592295
9386,NeuP,ENSG00000138829~chr5:128537588-128538370,0.33479407,0.022111047,0.4923552836916617,0.10806913361533452,1434.0,13493.0,61.20393884515788,0.0,0.0,0.2301255230125523,0.15829846582984658,61.20393884515788
26632,NeuP,ENSG00000158470~chr20:49727218-49728118,0.33965507,0.029252185,0.4715217897892885,0.11933342495623156,1434.0,13493.0,60.41260789289571,0.0,0.0,0.8410041841004184,0.07043235704323571,60.41260789289571
