ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0051058	BP	GO:0051058	negative regulation of small GTPase mediated signal transduction	1/1	61/20973	0.00290850140657051	0.0134458589615221	NA	ENSG00000163219	1
GO:0006911	BP	GO:0006911	phagocytosis, engulfment	1/1	123/20973	0.00586468316406819	0.0134458589615221	NA	ENSG00000163219	1
GO:0099024	BP	GO:0099024	plasma membrane invagination	1/1	132/20973	0.00629380632241472	0.0134458589615221	NA	ENSG00000163219	1
GO:0090630	BP	GO:0090630	activation of GTPase activity	1/1	133/20973	0.00634148667334189	0.0134458589615221	NA	ENSG00000163219	1
GO:0010324	BP	GO:0010324	membrane invagination	1/1	141/20973	0.00672292948076103	0.0134458589615221	NA	ENSG00000163219	1
GO:0006909	BP	GO:0006909	phagocytosis	1/1	333/20973	0.0158775568588184	0.0201449482668191	NA	ENSG00000163219	1
GO:0043087	BP	GO:0043087	regulation of GTPase activity	1/1	413/20973	0.0196919849330092	0.0218799832588991	NA	ENSG00000163219	1
GO:0007015	BP	GO:0007015	actin filament organization	1/1	484/20973	0.0230772898488532	0.0230772898488532	NA	ENSG00000163219	1
GO:0001891	CC	GO:0001891	phagocytic cup	1/1	40/21993	0.00181876051470931	0.00181876051470931	NA	ENSG00000163219	1
GO:0005096	MF	GO:0005096	GTPase activator activity	1/1	303/20738	0.0146108592921207	0.0146108592921207	NA	ENSG00000163219	1
